iter	Passed	Remaining
922	8411	701
923	8420	692
924	8429	683
925	8438	674
926	8448	665
927	8459	656
928	8468	647
929	8477	638
930	8487	629
931	8495	619
932	8505	610
933	8513	601
934	8523	592
935	8533	583
936	8541	574
937	8551	565
938	8559	556
939	8569	546
940	8578	537
941	8588	528
942	8596	519
943	8605	510
944	8614	501
945	8622	492
946	8632	483
947	8641	474
948	8652	465
949	8661	455
950	8670	446
951	8680	437
952	8689	428
953	8698	419
954	8706	410
955	8716	401
956	8724	392
957	8733	382
958	8742	373
959	8751	364
960	8760	355
961	8768	346
962	8777	337
963	8787	328
964	8797	319
965	8806	309
966	8815	300
967	8824	291
968	8833	282
969	8843	273
970	8851	264
971	8860	255
972	8869	246
973	8878	237
974	8888	227
975	8897	218
976	8907	209
977	8916	200
978	8928	191
979	8937	182
980	8946	173
981	8955	164
982	8963	155
983	8972	145
984	8980	136
985	8989	127
986	8998	118
987	9009	109
988	9017	100
989	9027	91
990	9035	82
991	9044	72
992	9054	63
993	9062	54
994	9072	45
995	9081	36
996	9091	27
997	9100	18
998	9109	9
999	9118	0
